pressmark,record_url,digitization_type,digitization_url
latin 7861,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671142,none,none
latin 7862,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671159,none,none
latin 7863,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67116j,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067049c
latin 7864,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67117s,colorized,https://gallica.bnf.fr/ark:/12148/btv1b10515894m
latin 7865,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671181,none,none
latin 7866,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671198,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036883b
latin 7867,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671209,none,none
latin 7868,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67121j,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100357145
latin 7869,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67122s,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100331252
latin 7870,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671231,none,none
latin 7871,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671248,none,none
latin 7872,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67125h,none,none
latin 7873,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67126r,none,none
latin 7874,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671270,none,none
latin 7875,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671287,none,none
latin 7876,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67129g,none,none
latin 7877,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67131r,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036922s
latin 7878,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671320,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036358f
latin 7879,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671337,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036523q
latin 7880,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67134g,none,none
latin 7881,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67135q,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036647q
latin 7882,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67136z,none,none
latin 7883,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671376,none,none
latin 7884,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67138f,colorized,https://gallica.bnf.fr/ark:/12148/btv1b550063556
latin 7885,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67139p,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100344048
latin 7886,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc126144t,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b10721142g
latin 7887,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc1261428,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b10721144c
latin 7888,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc671426,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90726109
latin 7889,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67143f,colorized,http://gallica.bnf.fr/ark:/12148/btv1b55013484n
latin 7890,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67144p,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9072609n
latin 7891,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67145x,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10037045w
